Month,cpi_rate,cpi: (United States),inflation: (United States),calculating inflation: (United States),inflation meaning: (United States),stagflation: (United States),inflation rate: (United States),hyperinflation: (United States),consumer price index: (United States),cpi index: (United States),current inflation rate: (United States),cpi inflation: (United States),inflation is: (United States),cpi inflation rate: (United States),cause of inflation: (United States),calculating cpi: (United States),inflation calculation: (United States),cpi is: (United States),demand pull inflation: (United States),cost push inflation: (United States),types of inflation: (United States),ppi: (United States),stagflation meaning: (United States),disinflation: (United States),price index: (United States),us cpi: (United States),core inflation: (United States),effects of inflation: (United States),transitory inflation: (United States),inflation index: (United States),average inflation rate: (United States),inflation risk: (United States),inflation meaning in economics: (United States),usd inflation: (United States),pce inflation: (United States),inflation and interest rates: (United States),euro inflation: (United States),annual inflation rate: (United States),dollar inflation: (United States),current cpi: (United States),consumer price index inflation: (United States),fed inflation: (United States),money illusion: (United States),food inflation: (United States),inflation in economics: (United States),core cpi: (United States),shoe leather costs: (United States),cpi increase: (United States),cpi rate: (United States),inflation expectations: (United States),current inflation: (United States),Economy topic,Inflation topic,Job topic,Stock topic
2004-01,186.3,92,35,100,0,2,65,10,100,99,89,34,9,15,10,0,44,11,23,0,0,70,0,0,100,26,37,32,0,100,34,16,0,0,0,10,0,44,56,24,100,5,0,8,0,25,0,61,16,23,72,44,39,68,15
2004-02,186.7,78,34,20,15,8,50,21,81,83,39,41,8,19,19,0,22,18,23,0,25,72,0,0,78,51,37,47,0,81,34,15,0,0,0,20,0,26,34,71,85,13,20,0,0,24,0,15,48,0,48,50,38,61,14
2004-03,187.1,80,39,25,0,14,63,8,61,58,55,26,14,12,25,0,55,14,0,0,0,86,0,38,68,54,47,100,0,60,100,58,0,0,0,13,0,100,78,0,17,0,100,10,0,0,0,0,15,0,52,47,45,65,12
2004-04,187.4,89,44,57,7,15,64,10,77,61,42,30,11,14,0,68,42,17,0,0,0,72,0,29,81,91,89,15,0,82,43,59,0,0,45,19,37,42,60,46,76,26,0,7,35,47,0,0,35,21,47,60,48,66,13
2004-05,188.2,86,35,17,0,31,46,16,73,89,73,41,8,30,9,0,58,19,40,22,0,58,0,0,76,83,33,70,0,90,40,14,0,0,41,26,100,15,42,63,52,20,17,0,0,0,0,26,35,0,73,44,39,67,11
2004-06,188.9,76,33,36,0,11,43,7,51,47,57,12,11,9,9,0,39,6,41,0,23,93,0,53,62,38,0,0,0,86,41,14,0,0,85,27,68,0,43,0,41,8,0,7,0,22,0,14,14,100,51,32,38,70,11
2004-07,189.1,71,29,18,0,12,38,10,60,65,23,14,8,0,0,33,0,3,0,23,0,70,0,0,63,32,17,0,0,38,94,43,0,0,0,46,35,24,32,0,12,8,0,14,0,22,0,0,4,0,28,31,32,67,11
2004-08,189.2,84,27,0,0,16,35,9,61,64,45,34,8,12,0,0,0,12,0,21,0,68,0,25,64,71,62,0,0,48,19,26,0,12,39,25,0,15,29,60,44,11,16,6,0,20,0,0,27,0,47,30,30,64,11
2004-09,189.8,84,29,16,6,8,48,10,64,78,66,31,6,12,0,56,35,20,0,20,40,52,0,71,71,68,29,38,0,46,27,24,0,0,0,0,30,35,22,19,42,4,0,19,15,77,0,36,32,18,63,42,31,62,11
2004-10,190.8,74,34,16,6,5,51,20,66,83,64,36,9,16,8,58,36,18,19,0,21,64,0,24,83,63,30,52,0,75,65,38,0,0,0,25,0,14,34,58,43,26,32,13,0,0,0,74,40,36,55,46,38,59,12
