Month,Inflation: (United States),cpi_rate
2004-02,38,0.001541624
2004-03,45,0.003078502
2004-04,48,0.002046036
2004-05,39,0.001531394
2004-06,38,0.002038736
2004-07,32,0.001017294
2004-08,30,0.00050813
2004-09,31,0.003047232
2004-10,38,0.002025316
2004-11,42,0.002021223
2004-12,35,0.001512859
2005-01,34,0.002014099
2005-02,39,0.00201005
2005-03,38,0.003510532
2005-04,41,0.00049975
2005-05,36,0.001498501
2005-06,32,0.000498753
2005-07,28,0.001495513
2005-08,29,0.00099552
2005-09,34,0.00099453
2005-10,39,0.003477397
2005-11,39,0.002475248
2005-12,31,0.001481481
2006-01,33,0.001972387
2006-02,35,0.001968504
2006-03,35,0.003438114
2006-04,41,0.002447381
2006-05,39,0.002929688
2006-06,34,0.002434275
2006-07,27,0.001942691
2006-08,27,0.002423655
2006-09,30,0.001934236
2006-10,32,0.001930502
2006-11,33,0.000963391
2006-12,31,0.001443696
2007-01,28,0.002402691
2007-02,35,0.002564717
2007-03,31,0.001353193
2007-04,34,0.001571021
2007-05,33,0.001482739
2007-06,27,0.001590037
2007-07,27,0.001810905
2007-08,27,0.001641576
2007-09,32,0.002060449
2007-10,36,0.002472182
2007-11,39,0.002749002
2007-12,34,0.00238879
2008-01,40,0.002828755
2008-02,42,0.000785888
2008-03,44,0.002248304
2008-04,48,0.000652924
2008-05,41,0.001752424
2008-06,43,0.002270443
2008-07,39,0.002511327
2008-08,34,0.001981803
2008-09,39,0.001478791
2008-10,47,0.00034608
2008-11,40,0.000733435
2008-12,35,-0.000101407
2009-01,34,0.001940763
2009-02,40,0.002052028
2009-03,43,0.002116699
2009-04,39,0.002075573
2009-05,35,0.000905325
2009-06,35,0.000950188
2009-07,28,0.000689145
2009-08,28,0.001062651
2009-09,33,0.001931698
2009-10,35,0.00264187
2009-11,36,0.000748296
2009-12,32,0.000974323
2010-01,33,-0.001122777
2010-02,36,0.000444177
2010-03,36,0.000235581
2010-04,36,0.000176644
2010-05,34,0.000633995
2010-06,27,0.001049954
2010-07,24,0.000764035
2010-08,25,0.00065955
2010-09,28,0.000911927
2010-10,34,0.000536735
2010-11,40,0.001438038
2010-12,31,0.000873288
2011-01,29,0.002068876
2011-02,35,0.001840191
2011-03,32,0.001079686
2011-04,39,0.001221728
2011-05,30,0.00200244
2011-06,25,0.002328538
2011-07,25,0.002318678
2011-08,25,0.002859452
2011-09,27,0.001133435
2011-10,28,0.001715918
2011-11,28,0.001735053
2011-12,25,0.002230067
2012-01,25,0.002075592
2012-02,28,0.000688968
2012-03,28,0.001947078
2012-04,29,0.001868889
2012-05,26,0.001393591
2012-06,22,0.001740655
2012-07,20,0.001511173
2012-08,20,0.001143627
2012-09,28,0.001850299
2012-10,31,0.001582423
2012-11,27,0.001324538
2012-12,24,0.001707517
2013-01,26,0.002174992
2013-02,32,0.001464072
2013-03,30,0.000967455
2013-04,35,0.000163234
2013-05,29,0.000704371
2013-06,21,0.001519339
2013-07,20,0.002271266
2013-08,20,0.001949718
2013-09,26,0.001553325
2013-10,33,0.000941628
2013-11,32,0.001864457
2013-12,31,0.001699531
2014-01,29,0.000856807
2014-02,33,0.000949309
2014-03,34,0.001862946
2014-04,38,0.001889065
2014-05,36,0.001927684
2014-06,24,0.001296684
2014-07,23,0.001505233
2014-08,22,0.000881631
2014-09,30,0.001598121
2014-10,36,0.001696079
2014-11,34,0.001116263
2014-12,31,0.000526188
2015-01,34,0.000947476
2015-02,35,0.001505352
2015-03,36,0.002427427
2015-04,39,0.002454778
2015-05,36,0.001417053
2015-06,24,0.001555725
2015-07,24,0.002069701
2015-08,23,0.001038897
2015-09,34,0.002055046
2015-10,36,0.001857667
2015-11,37,0.00194037
2015-12,37,0.001252861
2016-01,31,0.001668391
2016-02,37,0.002265722
2016-03,36,0.001641481
2016-04,38,0.002594413
2016-05,33,0.00237679
2016-06,22,0.001630674
2016-07,20,0.001167488
2016-08,20,0.002396814
2016-09,29,0.001686639
2016-10,33,0.001205584
2016-11,36,0.00136067
2016-12,34,0.001759653
2017-01,31,0.0021887
2017-02,36,0.00212004
2017-03,38,-0.000215141
2017-04,36,0.001127742
2017-05,34,0.000808034
2017-06,24,0.001256811
2017-07,23,0.00094937
2017-08,23,0.00218267
2017-09,30,0.001096878
2017-10,36,0.002824233
2017-11,37,0.001143867
2017-12,35,0.002080247
2018-01,34,0.002862265
2018-02,44,0.001944549
2018-03,37,0.002191198
2018-04,39,0.001854541
2018-05,37,0.002135595
2018-06,27,0.001158852
2018-07,29,0.001549822
2018-08,30,0.000698086
2018-09,36,0.001848637
2018-10,39,0.001903251
2018-11,38,0.00176836
2018-12,35,0.001846178
2019-01,34,0.002308278
2019-02,39,0.001347233
2019-03,39,0.001905054
2019-04,41,0.002203671
2019-05,38,0.001385718
2019-06,28,0.002378765
2019-07,29,0.00207648
2019-08,27,0.002444106
2019-09,33,0.001715032
2019-10,37,0.001628948
2019-11,38,0.001667805
2019-12,35,0.001058536
2020-01,33,0.002543821
2020-02,39,0.002496078
2020-03,36,-0.000625274
2020-04,40,-0.004289739
2020-05,37,-0.000620835
2020-06,30,0.001814718
2020-07,31,0.005501939
2020-08,32,0.004148726
2020-09,37,0.001823853
2020-10,36,0.000668767
2020-11,32,0.001797039
2020-12,37,0.000622647
2021-01,41,0.00048151
2021-02,52,0.001510473
2021-03,51,0.00304966
2021-04,48,0.008557309
2021-05,73,0.007476185
2021-06,58,0.008004642
2021-07,49,0.003137571
2021-08,42,0.001836481
2021-09,45,0.002545595
2021-10,64,0.006028205
2021-11,84,0.005232424
2021-12,73,0.005618354
2022-01,78,0.005832777
2022-02,89,0.005051827
2022-03,89,0.003240956
